year,field,consortium,ncsfixed,p10fixed,citsyearflex,author_first,author_et_al,title,source,volume,issue,pages,doi
2002,OB,NULL,1.2964272399584609,0,2,"de Weerd, S","THOMAS, CMG; CIKOT, RJLM; Steegers-Theunissen, RPM; de Boo, TM; STEEGERS, EAP",Preconception counseling improves folate status of women planning pregnancy,OBSTETRICS AND GYNECOLOGY,99,1,45-50,NULL
2002,ONC,NULL,0.35786343358209766,0,1.1333333333333333,"Hefler, LA","Concin, N; Mincham, D; THOMPSON, J; Swarte, NB; Van Eijkeren, MA; Sie-Go, DMDS; HAMMOND, I; MCCARTNEY, AJ; Tempfer, CB; SPEISER, P",The prognostic value of immunohistochemically detected CD44v3 and CD44v6 expression in patients with surgically staged vulvar carcinoma - A Multicenter study,CANCER,94,1,125-130,NULL
2002,VPG,NULL,1.2673188546671512,0,2.3999999999999999,"van Golde, R","Van Houwelingen, K; KIEMENEY, L; KREMER, J; TUERLINGS, J; SCHALKEN, J; Meuleman, E",Is increased CAG repeat length in the androgen receptor gene a risk factor for male subfertility?,JOURNAL OF UROLOGY,167,2,621-623,NULL
2002,ONC,NULL,0.50521896505707897,0,1.6000000000000001,"de Hullu, JA","HOLLEMA, H; HOEKSTRA, HJ; PIERS, DA; MOURITS, MJE; AALDERS, JG; van der Zee, AGJ",Vulvar melanoma - Is there a role for sentinel lymph node biopsy?,CANCER,94,2,486-491,NULL
2002,VPG,NULL,1.0973087822886629,0,1.9333333333333333,"de Vries, JWA","HOFFER, MJV; Repping, S; HOOVERS, JMN; LESCHOT, NJ; van der Veen, F",Reduced copy number of DAZ genes in subfertile and infertile men,FERTILITY AND STERILITY,77,1,68-75,NULL
2002,VPG,NULL,2.11894109683328,0.5,3.7333333333333334,"Imani, B","EIJKEMANS, MJC; FAESSEN, GH; BOUCHARD, P; GIUDICE, LC; FAUSER, BCJM",Prediction of the individual follicle-stimulating hormone threshold for gonadotropin induction of ovulation in normogonadotropic anovulatory infertility: an approach to increase safety and efficiency,FERTILITY AND STERILITY,77,1,83-90,NULL
2002,VPG,NULL,3.4054410484820572,1,6,"Imani, B","EIJKEMANS, MJC; VELDE, ERT; HABBEMA, JDF; FAUSER, BCJM",A nomogram to predict the probability of live birth after clomiphene citrate induction of ovulation in normogonadotropic oligoamenorrheic infertility,FERTILITY AND STERILITY,77,1,91-97,NULL
2002,VPG,NULL,5.3730292098272461,1,9.4666666666666668,"DOHLE, GR","HALLEY, DJJ; Van Hemel, JO; van den Ouwel, AMW; PIETERS, MHEC; WEBER, RFA; GOVAERTS, LCP",Genetic risk factors in infertile men with severe oligozoospermia and azoospermia,HUMAN REPRODUCTION,17,1,13-16,NULL
2002,OB,NULL,1.1351470161606858,0,2,"van Montfrans, JM","van Hooff, MHA; MARTENS, F; LAMBALK, CB","Basal FSH, estradiol and inhibin B concentrations in women with a previous Down's syndrome affected pregnancy",HUMAN REPRODUCTION,17,1,44-47,NULL
2002,VPG,NULL,0.11351470161606858,0,0.20000000000000001,"MCDONNELL, J","Goverde, AJ; RUTTEN, FFH; VERMEIDEN, JPW",Multivariate Markov chain analysis of the probability of pregnancy in infertile couples undergoing assisted reproduction,HUMAN REPRODUCTION,17,1,103-106,NULL
